"data.id","data.name","data.url","data.description","data.license","data.instance_count","data.user_count","data.monthly_active_users","data.status_count","data.website","data.source_repo","date_scraped"
2,"Mastodon","https://fedidb.org/software/mastodon","Mastodon is an open source decentralized social network - by the people for the people","AGPL",11900,7348315,1162107,799102630,"https://joinmastodon.org","https://github.com/tootsuite/mastodon",2023-06-08
12,"Misskey","https://fedidb.org/software/misskey","An interplanetary microblogging platform.","AGPL",728,321684,14325,43920576,"https://misskey-hub.net","https://github.com/misskey-dev/misskey",2023-06-08
3,"PeerTube","https://fedidb.org/software/peertube","Free software to take back control of your videos","AGPL",1094,298567,19925,27396873,"https://joinpeertube.org","https://github.com/Chocobozzz/PeerTube",2023-06-08
1,"Pixelfed","https://fedidb.org/software/pixelfed","Photo Sharing. For Everyone.","AGPL",433,151097,11794,8596538,"https://pixelfed.org","https://github.com/pixelfed/pixelfed",2023-06-08
127,"Microdotblog","https://fedidb.org/software/microdotblog","Personal blogging that makes it easy to be social.",NA,1,112477,4842,4924526,"https://micro.blog",NA,2023-06-08
4,"Pleroma","https://fedidb.org/software/pleroma","Free and Open Federated Microblogging server.","AGPL",1325,106521,18049,25926860,"https://pleroma.social","https://git.pleroma.social/pleroma/pleroma/",2023-06-08
9,"Writefreely","https://fedidb.org/software/writefreely","Minimalist, federated, self-hosted blogging platform.","AGPL",495,83056,3,362075,"https://writefreely.org","https://github.com/writeas/writefreely",2023-06-08
11,"WordPress","https://fedidb.org/software/wordpress","Open source software which you can use to easily create a beautiful website, blog, or app.","GPLv2",1273,70691,3,1273340,"https://wordpress.org","https://wordpress.org/download/source/",2023-06-08
59,"Lemmy","https://fedidb.org/software/lemmy","A link aggregator and forum for the fediverse.","AGPL",140,62234,4717,277739,"https://join-lemmy.org","https://github.com/LemmyNet/lemmy",2023-06-08
106,"Fedibird","https://fedidb.org/software/fedibird","Fedibird is a fork of Mastodon arranged with features maintained by Takeshi Umeda (noellabo).","AGPL",4,30096,9374,9567517,"https://github.com/fedibird/mastodon","https://github.com/fedibird/mastodon",2023-06-08
7,"Plume","https://fedidb.org/software/plume","A federated blogging application","AGPL",52,23534,1,86285,"https://joinplu.me","https://github.com/Plume-org/Plume",2023-06-08
13,"Friendica","https://fedidb.org/software/friendica","Friendica is a free and open-source software distributed social network.","AGPL",353,16966,2089,2029052,"https://friendi.ca","https://github.com/friendica/friendica",2023-06-08
27,"Mobilizon","https://fedidb.org/software/mobilizon","Mobilizon is an open source software for event planning and group management.","AGPL",102,16815,0,428433,"https://joinmobilizon.org","https://framagit.org/framasoft/mobilizon",2023-06-08
10,"Bookwyrm","https://fedidb.org/software/bookwyrm","BookWyrm is a social network for tracking your reading, talking about books, writing reviews, and discovering what to read next.","Anti-Capitalist Software License",81,15864,2348,727959,"https://joinbookwyrm.com","https://github.com/bookwyrm-social/bookwyrm",2023-06-08
89,"Akkoma","https://fedidb.org/software/akkoma","Akkoma is a faster-paced fork, it has a varied and potentially experimental feature set tailored specifically to the corner of the fediverse inhabited by the project creator and contributors.","AGPL",541,14647,7537,5050087,"https://akkoma.dev/AkkomaGang/akkoma","https://akkoma.dev/AkkomaGang/akkoma",2023-06-08
77,"Hometown","https://fedidb.org/software/hometown","A supported fork of Mastodon that provides local posting and a wider range of content types.","AGPL",158,14224,4898,5540712,"https://github.com/hometown-fork/hometown","https://github.com/hometown-fork/hometown",2023-06-08
97,"Calckey","https://fedidb.org/software/calckey","A fun, new, open way to experience social media.","AGPL",335,9305,5012,886830,"https://calckey.org","https://codeberg.org/calckey/calckey",2023-06-08
5,"Hubzilla","https://fedidb.org/software/hubzilla","Hubzilla is a powerful platform for creating interconnected websites featuring a decentralized identity, communications, and permissions framework built using common webserver technology.","MIT",75,5020,911,436970,"https://zotlabs.org/page/hubzilla/hubzilla-project","https://framagit.org/hubzilla/core",2023-06-08
75,"Gitea","https://fedidb.org/software/gitea","Gitea is a forge software package for hosting software development version control using Git.","MIT",3,3840,3,1,"https://gitea.io","https://github.com/go-gitea/gitea",2023-06-08
109,"Foundkey","https://fedidb.org/software/foundkey","Forked from Misskey, FoundKey improves on maintainability and behaviour, while also bringing in useful features.","AGPL",33,2806,746,1368783,"https://akkoma.dev/FoundKeyGang/FoundKey","https://akkoma.dev/FoundKeyGang/FoundKey",2023-06-08
126,"Meisskey","https://fedidb.org/software/meisskey","Meisskey is a decentralized microblogging platform, a fork of Misskey.","AGPL",9,2679,319,1715548,"https://github.com/mei23/misskey","https://github.com/mei23/misskey",2023-06-08
8,"Socialhome","https://fedidb.org/software/socialhome","A federated social home","AGPL",5,1507,27,40060,"https://socialhome.network","https://github.com/jaywink/socialhome",2023-06-08
111,"Glitchcafe","https://fedidb.org/software/glitchcafe","Mastodon fork for Plural Café.","AGPL",1,1369,159,235861,"https://github.com/pluralcafe/glitchcafe","https://github.com/pluralcafe/glitchcafe",2023-06-08
95,"Bridgy-fed","https://fedidb.org/software/bridgy-fed","Bridgy Fed connects your web site to Mastodon and the fediverse.","Public domain",1,974,0,10188,"https://fed.brid.gy","https://github.com/snarfed/bridgy-fed",2023-06-08
76,"Gotosocial","https://fedidb.org/software/gotosocial","GoToSocial is an ActivityPub social network server, written in Golang.","AGPL",543,824,45,249208,"https://gotosocial.org","https://github.com/superseriousbusiness/gotosocial",2023-06-08
29,"Gancio","https://fedidb.org/software/gancio","A shared agenda for local communities.","AGPL",28,573,0,18414,"https://gancio.org","https://framagit.org/les/gancio",2023-06-08
74,"Ecko","https://fedidb.org/software/ecko","Ecko is a fork of Mastodon with extra features requested by the community.","AGPL",6,485,45,12637,"https://magicstone.dev","https://github.com/magicstone-dev/ecko",2023-06-08
73,"Brutalinks","https://fedidb.org/software/brutalinks","Link aggregator inspired by reddit using ActivityPub federation.","MIT",1,481,0,721,"https://git.sr.ht/~mariusor/brutalinks","https://git.sr.ht/~mariusor/brutalinks",2023-06-08
15,"Lotide","https://fedidb.org/software/lotide","A federated forum / link aggregator using ActivityPub.","AGPL",8,385,0,3928,"https://git.sr.ht/~vpzom/lotide","https://git.sr.ht/~vpzom/lotide",2023-06-08
146,"Takahe","https://fedidb.org/software/takahe","An efficient ActivityPub Server, for small installs with multiple domains.","BSD-3",39,325,6,4493,"https://jointakahe.org","https://github.com/jointakahe/takahe",2023-06-08
6,"GNU social","https://fedidb.org/software/gnusocial","The free/libre software social networking platform.","AGPL",18,315,89,145169,"https://gnusocial.network","https://notabug.org/diogo/gnu-social",2023-06-08
101,"Cherrypick","https://fedidb.org/software/cherrypick","Fork of Misskey.","AGPL",3,251,35,50022,"https://github.com/kokonect-link/cherrypick","https://github.com/kokonect-link/cherrypick",2023-06-08
39,"Smithereen","https://fedidb.org/software/smithereen","Federated, ActivityPub-compatible social network server with friends, walls, and groups.","Unlicense",2,229,29,1069,"https://github.com/grishka/Smithereen","https://github.com/grishka/Smithereen",2023-06-08
84,"Owncast","https://fedidb.org/software/owncast","Owncast is a free and open source live video and web chat server for use with existing popular broadcasting software.","MIT",167,167,176,10544,"https://owncast.online","https://github.com/owncast/owncast",2023-06-08
80,"Koyuspace","https://fedidb.org/software/koyuspace","The koyu.space version of glitch-soc.","AGPL",0,0,NA,0,"https://github.com/koyuspace/mastodon","https://github.com/koyuspace/mastodon",2023-06-08
